,text,image_paths
54,grass,./data/final_images/54.jpg
55,grass,./data/final_images/55.jpg
56,grass,./data/final_images/56.jpg
57,cracks,./data/final_images/57.jpg
58,street has no sidewalks,./data/final_images/58.jpg
59,street has no sidewalks,./data/final_images/59.jpg
60,missing pavement missing tactile warning,./data/final_images/60.jpg
61,bumpy cracks,./data/final_images/61.jpg
62,bumpy cracks,./data/final_images/62.jpg
63,cracks,./data/final_images/63.jpg
64,missing tactile warning,./data/final_images/64.jpg
65,missing tactile warning,./data/final_images/65.jpg
66,grass,./data/final_images/66.jpg
67,missing tactile warning,./data/final_images/67.jpg
68,missing tactile warning,./data/final_images/68.jpg
69,cracks grass,./data/final_images/69.jpg
70,cracks grass,./data/final_images/70.jpg
71,points into traffic,./data/final_images/71.jpg
72,points into traffic,./data/final_images/72.jpg
73,cracks grass,./data/final_images/73.jpg
74,cracks,./data/final_images/74.jpg
75,cracks grass,./data/final_images/75.jpg
76,bumpy cracks grass,./data/final_images/76.jpg
77,missing tactile warning,./data/final_images/77.jpg
78,missing tactile warning,./data/final_images/78.jpg
79,missing tactile warning,./data/final_images/79.jpg
80,grass,./data/final_images/80.jpg
81,ends abruptly,./data/final_images/81.jpg
82,missing tactile warning,./data/final_images/82.jpg
83,cracks missing tactile warning,./data/final_images/83.jpg
84,cracks grass,./data/final_images/84.jpg
85,missing tactile warning not level with street,./data/final_images/85.jpg
86,alternate route present,./data/final_images/86.jpg
87,ends abruptly,./data/final_images/87.jpg
88,missing tactile warning not level with street,./data/final_images/88.jpg
89,missing tactile warning narrow not level with street,./data/final_images/89.jpg
90,no alternate route,./data/final_images/90.jpg
91,cracks,./data/final_images/91.jpg
92,missing tactile warning,./data/final_images/92.jpg
93,cracks,./data/final_images/93.jpg
94,cracks,./data/final_images/94.jpg
95,street has a sidewalk,./data/final_images/95.jpg
96,street has no sidewalks,./data/final_images/96.jpg
97,street has no sidewalks,./data/final_images/97.jpg
98,grass,./data/final_images/98.jpg
99,cracks grass,./data/final_images/99.jpg
100,grass missing tactile warning,./data/final_images/100.jpg
101,missing tactile warning,./data/final_images/101.jpg
102,grass missing tactile warning,./data/final_images/102.jpg
103,missing tactile warning,./data/final_images/103.jpg
104,missing tactile warning,./data/final_images/104.jpg
105,missing tactile warning,./data/final_images/105.jpg
106,missing tactile warning,./data/final_images/106.jpg
107,cracks grass,./data/final_images/107.jpg
108,cracks grass,./data/final_images/108.jpg
109,missing tactile warning,./data/final_images/109.jpg
110,missing tactile warning,./data/final_images/110.jpg
111,cracks,./data/final_images/111.jpg
112,cracks,./data/final_images/112.jpg
113,grass missing tactile warning,./data/final_images/113.jpg
114,gravel bumpy cracks,./data/final_images/114.jpg
115,cracks grass,./data/final_images/115.jpg
116,cracks grass,./data/final_images/116.jpg
117,cracks,./data/final_images/117.jpg
118,cracks,./data/final_images/118.jpg
119,cracks grass,./data/final_images/119.jpg
120,vegetation,./data/final_images/120.jpg
121,vegetation,./data/final_images/121.jpg
122,missing tactile warning,./data/final_images/122.jpg
123,missing tactile warning,./data/final_images/123.jpg
124,missing tactile warning not level with street,./data/final_images/124.jpg
125,missing tactile warning not level with street,./data/final_images/125.jpg
126,missing tactile warning not enough landing space not level with street,./data/final_images/126.jpg
127,missing tactile warning not enough landing space,./data/final_images/127.jpg
128,missing tactile warning,./data/final_images/128.jpg
129,missing tactile warning,./data/final_images/129.jpg
130,pole,./data/final_images/130.jpg
131,parked car,./data/final_images/131.jpg
132,alternate route present,./data/final_images/132.jpg
133,uneven slanted,./data/final_images/133.jpg
134,cracks,./data/final_images/134.jpg
135,cracks,./data/final_images/135.jpg
136,cracks grass,./data/final_images/136.jpg
137,cracks very broken,./data/final_images/137.jpg
138,ends abruptly street has a sidewalk,./data/final_images/138.jpg
139,uneven slanted,./data/final_images/139.jpg
140,uneven slanted,./data/final_images/140.jpg
141,vegetation,./data/final_images/141.jpg
142,grass height difference,./data/final_images/142.jpg
143,missing tactile warning not level with street,./data/final_images/143.jpg
144,parked car,./data/final_images/144.jpg
145,missing tactile warning,./data/final_images/145.jpg
146,missing tactile warning,./data/final_images/146.jpg
147,points into traffic,./data/final_images/147.jpg
148,points into traffic,./data/final_images/148.jpg
149,points into traffic,./data/final_images/149.jpg
150,points into traffic,./data/final_images/150.jpg
151,street has a sidewalk,./data/final_images/151.jpg
152,construction grass,./data/final_images/152.jpg
153,construction,./data/final_images/153.jpg
154,street has a sidewalk,./data/final_images/154.jpg
155,construction vegetation,./data/final_images/155.jpg
156,not enough landing space,./data/final_images/156.jpg
157,not level with street,./data/final_images/157.jpg
158,not level with street,./data/final_images/158.jpg
159,not level with street,./data/final_images/159.jpg
160,alternate route present,./data/final_images/160.jpg
161,alternate route present,./data/final_images/161.jpg
162,alternate route present,./data/final_images/162.jpg
163,alternate route present,./data/final_images/163.jpg
164,alternate route present,./data/final_images/164.jpg
165,ends abruptly street has a sidewalk,./data/final_images/165.jpg
166,cracks,./data/final_images/166.jpg
167,missing tactile warning,./data/final_images/167.jpg
168,missing tactile warning,./data/final_images/168.jpg
169,cracks missing tactile warning,./data/final_images/169.jpg
170,points into traffic,./data/final_images/170.jpg
171,missing tactile warning,./data/final_images/171.jpg
172,alternate route present,./data/final_images/172.jpg
173,alternate route present,./data/final_images/173.jpg
174,narrow sidewalk,./data/final_images/174.jpg
175,missing tactile warning,./data/final_images/175.jpg
176,missing tactile warning not level with street,./data/final_images/176.jpg
177,alternate route present,./data/final_images/177.jpg
178,vegetation,./data/final_images/178.jpg
179,ends abruptly street has a sidewalk,./data/final_images/179.jpg
180,pole,./data/final_images/180.jpg
181,no alternate route,./data/final_images/181.jpg
182,no alternate route,./data/final_images/182.jpg
183,street has no sidewalks,./data/final_images/183.jpg
184,ends abruptly,./data/final_images/184.jpg
185,very broken,./data/final_images/185.jpg
186,cracks grass,./data/final_images/186.jpg
187,no alternate route,./data/final_images/187.jpg
188,height difference,./data/final_images/188.jpg
189,cracks grass,./data/final_images/189.jpg
190,cracks grass,./data/final_images/190.jpg
191,street has no sidewalks,./data/final_images/191.jpg
192,street has no sidewalks,./data/final_images/192.jpg
193,ends abruptly street has a sidewalk,./data/final_images/193.jpg
194,gravel dirt road,./data/final_images/194.jpg
195,ends abruptly gravel dirt road,./data/final_images/195.jpg
196,grass,./data/final_images/196.jpg
197,gravel dirt road street has a sidewalk,./data/final_images/197.jpg
198,mud vegetation,./data/final_images/198.jpg
199,cracks,./data/final_images/199.jpg
200,ends abruptly gravel dirt road street has a sidewalk,./data/final_images/200.jpg
201,cracks grass,./data/final_images/201.jpg
202,dirt build up,./data/final_images/202.jpg
203,broken friction stips mud,./data/final_images/203.jpg
204,grass mud,./data/final_images/204.jpg
205,mud broken friction strips,./data/final_images/205.jpg
206,mud,./data/final_images/206.jpg
207,mud,./data/final_images/207.jpg
208,debris build up,./data/final_images/208.jpg
209,debris build up,./data/final_images/209.jpg
210,broken friction strips,./data/final_images/210.jpg
211,bumpy,./data/final_images/211.jpg
212,debris build up,./data/final_images/212.jpg
213,street has a sidewalk,./data/final_images/213.jpg
214,gravel missing tactile warning,./data/final_images/214.jpg
215,broken friction strips,./data/final_images/215.jpg
216,vegetation,./data/final_images/216.jpg
217,grass,./data/final_images/217.jpg
218,alternate route present,./data/final_images/218.jpg
219,grass,./data/final_images/219.jpg
220,ends abruptly street has no sidewalks,./data/final_images/220.jpg
221,gravel dirt road street has no sidewalks,./data/final_images/221.jpg
222,ends abruptly gravel dirt road street has no sidewalks,./data/final_images/222.jpg
223,grass,./data/final_images/223.jpg
224,street has a sidewalk,./data/final_images/224.jpg
225,debris build up missing tactile warning,./data/final_images/225.jpg
226,broken friction strips,./data/final_images/226.jpg
227,mud build up,./data/final_images/227.jpg
228,vegetation,./data/final_images/228.jpg
229,pole vegetation,./data/final_images/229.jpg
230,ends abruptly street has a sidewalk,./data/final_images/230.jpg
231,trash recycling can vegetation,./data/final_images/231.jpg
232,cracks grass,./data/final_images/232.jpg
233,missing tactile warning,./data/final_images/233.jpg
234,pole,./data/final_images/234.jpg
235,vegetation,./data/final_images/235.jpg
236,cracks grass,./data/final_images/236.jpg
237,missing tactile warning,./data/final_images/237.jpg
238,pole,./data/final_images/238.jpg
239,cracks grass height difference,./data/final_images/239.jpg
240,missing tactile warning,./data/final_images/240.jpg
241,pole,./data/final_images/241.jpg
242,cracks,./data/final_images/242.jpg
243,fire hydrant,./data/final_images/243.jpg
244,missing tactile warning not level with street,./data/final_images/244.jpg
245,vegetation missing tactile warning not enough landing space,./data/final_images/245.jpg
246,missing tactile warning,./data/final_images/246.jpg
247,missing tactile warning,./data/final_images/247.jpg
248,missing tactile warning points into traffic,./data/final_images/248.jpg
249,parked car,./data/final_images/249.jpg
250,parked car,./data/final_images/250.jpg
251,broken friction strips,./data/final_images/251.jpg
252,grass,./data/final_images/252.jpg
253,broken friction strips,./data/final_images/253.jpg
254,debris build up,./data/final_images/254.jpg
255,debris build up,./data/final_images/255.jpg
256,mud build up,./data/final_images/256.jpg
257,grass,./data/final_images/257.jpg
258,grass,./data/final_images/258.jpg
259,broken friction strips,./data/final_images/259.jpg
260,gravel dirt road street has no sidewalks,./data/final_images/260.jpg
261,street has no sidewalks,./data/final_images/261.jpg
262,gravel dirt road street has no sidewalks,./data/final_images/262.jpg
263,gravel bumpy,./data/final_images/263.jpg
264,cracks uneven slanted,./data/final_images/264.jpg
265,grass,./data/final_images/265.jpg
266,grass height difference,./data/final_images/266.jpg
267,grass,./data/final_images/267.jpg
268,bumpy,./data/final_images/268.jpg
269,bumpy,./data/final_images/269.jpg
270,street has a sidewalk,./data/final_images/270.jpg
271,bumpy,./data/final_images/271.jpg
272,trash,./data/final_images/272.jpg
273,vegetation,./data/final_images/273.jpg
274,bumpy,./data/final_images/274.jpg
275,gravel bumpy,./data/final_images/275.jpg
276,grass,./data/final_images/276.jpg
277,uneven slanted,./data/final_images/277.jpg
278,debris bumpy cracks,./data/final_images/278.jpg
279,trash recycling can vegetation,./data/final_images/279.jpg
280,parked bike,./data/final_images/280.jpg
281,missing tactile warning,./data/final_images/281.jpg
282,missing tactile warning points into traffic,./data/final_images/282.jpg
283,bumpy uneven slanted,./data/final_images/283.jpg
284,bumpy cracks uneven slanted,./data/final_images/284.jpg
285,cracks,./data/final_images/285.jpg
286,bumpy cracks,./data/final_images/286.jpg
287,bumpy cracks uneven slanted,./data/final_images/287.jpg
288,bumpy cracks uneven slanted,./data/final_images/288.jpg
289,bumpy cracks uneven slanted,./data/final_images/289.jpg
290,cracks narrow sidewalk,./data/final_images/290.jpg
291,construction,./data/final_images/291.jpg
292,construction,./data/final_images/292.jpg
293,uneven slanted,./data/final_images/293.jpg
294,uneven slanted,./data/final_images/294.jpg
295,cracks,./data/final_images/295.jpg
296,uneven slanted,./data/final_images/296.jpg
297,uneven slanted,./data/final_images/297.jpg
298,pole,./data/final_images/298.jpg
299,cracks grass,./data/final_images/299.jpg
300,cracks height difference,./data/final_images/300.jpg
301,pole,./data/final_images/301.jpg
302,cracks,./data/final_images/302.jpg
303,narrow sidewalk,./data/final_images/303.jpg
304,narrow sidewalk,./data/final_images/304.jpg
305,uneven slanted,./data/final_images/305.jpg
306,uneven slanted,./data/final_images/306.jpg
307,uneven slanted,./data/final_images/307.jpg
308,uneven slanted,./data/final_images/308.jpg
309,cracks uneven slanted,./data/final_images/309.jpg
310,height difference,./data/final_images/310.jpg
311,missing tactile warning,./data/final_images/311.jpg
312,bumpy,./data/final_images/312.jpg
313,narrow sidewalk,./data/final_images/313.jpg
314,narrow sidewalk,./data/final_images/314.jpg
315,debris build up,./data/final_images/315.jpg
316,grass,./data/final_images/316.jpg
317,grass,./data/final_images/317.jpg
318,grass,./data/final_images/318.jpg
319,cracks,./data/final_images/319.jpg
320,grass,./data/final_images/320.jpg
321,trash recycling can,./data/final_images/321.jpg
322,narrow sidewalk,./data/final_images/322.jpg
323,cracks narrow sidewalk,./data/final_images/323.jpg
324,narrow sidewalk,./data/final_images/324.jpg
325,points into traffic,./data/final_images/325.jpg
326,cracks,./data/final_images/326.jpg
327,pole,./data/final_images/327.jpg
328,cracks grass,./data/final_images/328.jpg
329,cracks grass,./data/final_images/329.jpg
330,grass,./data/final_images/330.jpg
331,missing tactile warning,./data/final_images/331.jpg
332,missing tactile warning,./data/final_images/332.jpg
333,fire hydrant,./data/final_images/333.jpg
334,electrical plate bumpy,./data/final_images/334.jpg
335,brick cobblestone,./data/final_images/335.jpg
336,not enough landing space points into traffic,./data/final_images/336.jpg
337,points into traffic,./data/final_images/337.jpg
338,narrow sidewalk,./data/final_images/338.jpg
339,grass,./data/final_images/339.jpg
340,points into traffic,./data/final_images/340.jpg
341,points into traffic,./data/final_images/341.jpg
342,alternate route present,./data/final_images/342.jpg
343,points into traffic,./data/final_images/343.jpg
344,points into traffic,./data/final_images/344.jpg
345,points into traffic,./data/final_images/345.jpg
346,points into traffic,./data/final_images/346.jpg
347,street has a sidewalk,./data/final_images/347.jpg
348,ends abruptly street has a sidewalk,./data/final_images/348.jpg
349,narrow sidewalk,./data/final_images/349.jpg
350,missing tactile warning,./data/final_images/350.jpg
351,missing tactile warning,./data/final_images/351.jpg
352,missing tactile warning,./data/final_images/352.jpg
353,missing tactile warning,./data/final_images/353.jpg
354,alternate route present,./data/final_images/354.jpg
355,alternate route present,./data/final_images/355.jpg
356,points into traffic,./data/final_images/356.jpg
357,alternate route present,./data/final_images/357.jpg
358,brick cobblestone,./data/final_images/358.jpg
359,brick cobblestone,./data/final_images/359.jpg
360,missing tactile warning,./data/final_images/360.jpg
361,missing tactile warning,./data/final_images/361.jpg
362,street has no sidewalks,./data/final_images/362.jpg
363,bumpy,./data/final_images/363.jpg
364,unclear if needed,./data/final_images/364.jpg
365,is this really a walking route anyone would take,./data/final_images/365.jpg
366,points into traffic,./data/final_images/366.jpg
367,missing tactile warning,./data/final_images/367.jpg
368,alternate route present,./data/final_images/368.jpg
369,not enough landing space,./data/final_images/369.jpg
370,missing tactile warning points into traffic,./data/final_images/370.jpg
371,street has a sidewalk,./data/final_images/371.jpg
372,brick cobblestone,./data/final_images/372.jpg
373,missing tactile warning,./data/final_images/373.jpg
374,missing tactile warning,./data/final_images/374.jpg
375,missing tactile warning points into traffic,./data/final_images/375.jpg
376,missing tactile warning not enough landing space points into traffic,./data/final_images/376.jpg
377,missing tactile warning narrow,./data/final_images/377.jpg
378,alternate route present,./data/final_images/378.jpg
379,street has a sidewalk,./data/final_images/379.jpg
380,missing tactile warning points into traffic,./data/final_images/380.jpg
381,missing tactile warning,./data/final_images/381.jpg
382,missing tactile warning,./data/final_images/382.jpg
383,bumpy,./data/final_images/383.jpg
384,missing tactile warning points into traffic,./data/final_images/384.jpg
385,not enough landing space points into traffic,./data/final_images/385.jpg
386,points into traffic,./data/final_images/386.jpg
387,points into traffic,./data/final_images/387.jpg
388,brick cobblestone,./data/final_images/388.jpg
389,missing tactile warning,./data/final_images/389.jpg
390,missing tactile warning,./data/final_images/390.jpg
391,missing tactile warning,./data/final_images/391.jpg
392,missing tactile warning,./data/final_images/392.jpg
393,another gsv image appears to have updated infrastructure missing tactile warning points into traffic,./data/final_images/393.jpg
394,another gsv image appears to have updated infrastructure missing tactile warning points into traffic,./data/final_images/394.jpg
395,gravel,./data/final_images/395.jpg
396,gravel,./data/final_images/396.jpg
397,missing tactile warning,./data/final_images/397.jpg
398,missing tactile warning,./data/final_images/398.jpg
399,missing tactile warning,./data/final_images/399.jpg
400,missing tactile warning,./data/final_images/400.jpg
401,missing tactile warning points into traffic,./data/final_images/401.jpg
402,missing tactile warning points into traffic,./data/final_images/402.jpg
403,missing tactile warning narrow,./data/final_images/403.jpg
404,missing tactile warning narrow,./data/final_images/404.jpg
405,missing tactile warning,./data/final_images/405.jpg
406,missing tactile warning,./data/final_images/406.jpg
407,narrow sidewalk,./data/final_images/407.jpg
408,grass missing tactile warning,./data/final_images/408.jpg
409,missing tactile warning narrow steep,./data/final_images/409.jpg
410,missing tactile warning points into traffic,./data/final_images/410.jpg
411,alternate route present,./data/final_images/411.jpg
412,alternate route present,./data/final_images/412.jpg
413,bumpy,./data/final_images/413.jpg
414,bumpy missing tactile warning steep,./data/final_images/414.jpg
415,alternate route present,./data/final_images/415.jpg
416,alternate route present,./data/final_images/416.jpg
417,no alternate route,./data/final_images/417.jpg
418,no alternate route,./data/final_images/418.jpg
419,alternate route present,./data/final_images/419.jpg
420,not enough landing space points into traffic,./data/final_images/420.jpg
421,alternate route present,./data/final_images/421.jpg
422,not level with street,./data/final_images/422.jpg
423,points into traffic,./data/final_images/423.jpg
424,pole,./data/final_images/424.jpg
425,pole,./data/final_images/425.jpg
426,points into traffic,./data/final_images/426.jpg
427,missing tactile warning points into traffic,./data/final_images/427.jpg
428,missing tactile warning not enough landing space points into traffic,./data/final_images/428.jpg
429,pole,./data/final_images/429.jpg
430,pole,./data/final_images/430.jpg
431,missing tactile warning points into traffic steep,./data/final_images/431.jpg
432,points into traffic,./data/final_images/432.jpg
433,missing tactile warning points into traffic,./data/final_images/433.jpg
434,missing tactile warning points into traffic,./data/final_images/434.jpg
435,missing tactile warning,./data/final_images/435.jpg
436,missing tactile warning,./data/final_images/436.jpg
437,points into traffic,./data/final_images/437.jpg
438,points into traffic,./data/final_images/438.jpg
439,missing tactile warning not enough landing space points into traffic,./data/final_images/439.jpg
440,brick cobblestone,./data/final_images/440.jpg
441,missing tactile warning,./data/final_images/441.jpg
442,missing tactile warning not enough landing space,./data/final_images/442.jpg
443,no alternate route,./data/final_images/443.jpg
444,no alternate route,./data/final_images/444.jpg
445,no alternate route,./data/final_images/445.jpg
446,missing tactile warning,./data/final_images/446.jpg
447,missing tactile warning,./data/final_images/447.jpg
448,missing tactile warning not enough landing space points into traffic,./data/final_images/448.jpg
449,points into traffic,./data/final_images/449.jpg
450,points into traffic,./data/final_images/450.jpg
451,bumpy,./data/final_images/451.jpg
452,bumpy,./data/final_images/452.jpg
453,table and chairs,./data/final_images/453.jpg
454,brick cobblestone,./data/final_images/454.jpg
455,missing tactile warning,./data/final_images/455.jpg
456,points into traffic,./data/final_images/456.jpg
457,points into traffic,./data/final_images/457.jpg
458,points into traffic,./data/final_images/458.jpg
459,fire hydrant,./data/final_images/459.jpg
460,brick cobblestone,./data/final_images/460.jpg
461,points into traffic,./data/final_images/461.jpg
462,missing tactile warning,./data/final_images/462.jpg
463,missing tactile warning,./data/final_images/463.jpg
464,missing tactile warning,./data/final_images/464.jpg
465,missing tactile warning,./data/final_images/465.jpg
466,brick cobblestone,./data/final_images/466.jpg
467,missing tactile warning,./data/final_images/467.jpg
468,points into traffic,./data/final_images/468.jpg
469,brick cobblestone,./data/final_images/469.jpg
470,tree,./data/final_images/470.jpg
471,pole,./data/final_images/471.jpg
472,missing tactile warning,./data/final_images/472.jpg
473,missing tactile warning,./data/final_images/473.jpg
474,missing tactile warning,./data/final_images/474.jpg
475,brick cobblestone,./data/final_images/475.jpg
476,missing tactile warning,./data/final_images/476.jpg
477,missing tactile warning,./data/final_images/477.jpg
478,missing tactile warning,./data/final_images/478.jpg
479,missing tactile warning,./data/final_images/479.jpg
480,missing tactile warning,./data/final_images/480.jpg
481,missing tactile warning,./data/final_images/481.jpg
482,missing tactile warning,./data/final_images/482.jpg
483,missing tactile warning,./data/final_images/483.jpg
484,brick cobblestone,./data/final_images/484.jpg
485,brick cobblestone,./data/final_images/485.jpg
486,brick cobblestone,./data/final_images/486.jpg
487,points into traffic,./data/final_images/487.jpg
488,missing tactile warning points into traffic,./data/final_images/488.jpg
489,bumpy points into traffic,./data/final_images/489.jpg
490,debris not enough landing space points into traffic,./data/final_images/490.jpg
491,not enough landing space points into traffic,./data/final_images/491.jpg
492,uneven landing,./data/final_images/492.jpg
493,missing tactile warning,./data/final_images/493.jpg
494,missing tactile warning narrow,./data/final_images/494.jpg
495,grass missing tactile warning points into traffic,./data/final_images/495.jpg
496,alternate route present,./data/final_images/496.jpg
497,missing tactile warning,./data/final_images/497.jpg
498,missing tactile warning,./data/final_images/498.jpg
499,debris,./data/final_images/499.jpg
500,debris,./data/final_images/500.jpg
501,construction,./data/final_images/501.jpg
502,narrow sidewalk,./data/final_images/502.jpg
503,cracks grass,./data/final_images/503.jpg
504,alternate route present,./data/final_images/504.jpg
505,not enough landing space points into traffic,./data/final_images/505.jpg
506,street has a sidewalk,./data/final_images/506.jpg
507,alternate route present,./data/final_images/507.jpg
508,alternate route present,./data/final_images/508.jpg
509,bumpy landing points into traffic,./data/final_images/509.jpg
510,no alternate route,./data/final_images/510.jpg
511,no alternate route,./data/final_images/511.jpg
512,gravel,./data/final_images/512.jpg
513,missing tactile warning,./data/final_images/513.jpg
514,missing tactile warning,./data/final_images/514.jpg
515,grass narrow sidewalk,./data/final_images/515.jpg
516,grass points into traffic,./data/final_images/516.jpg
517,missing tactile warning narrow,./data/final_images/517.jpg
518,missing tactile warning narrow,./data/final_images/518.jpg
519,can t see well alternate route present,./data/final_images/519.jpg
520,missing tactile warning,./data/final_images/520.jpg
521,missing tactile warning,./data/final_images/521.jpg
522,missing tactile warning,./data/final_images/522.jpg
523,missing tactile warning,./data/final_images/523.jpg
524,missing tactile warning,./data/final_images/524.jpg
525,points into traffic,./data/final_images/525.jpg
526,points into traffic,./data/final_images/526.jpg
527,points into traffic,./data/final_images/527.jpg
528,points into traffic,./data/final_images/528.jpg
529,missing tactile warning,./data/final_images/529.jpg
530,missing tactile warning,./data/final_images/530.jpg
531,midblock alternate route present,./data/final_images/531.jpg
532,midblock missing tactile warning narrow points into traffic,./data/final_images/532.jpg
533,missing tactile warning,./data/final_images/533.jpg
534,missing tactile warning,./data/final_images/534.jpg
535,missing tactile warning,./data/final_images/535.jpg
536,missing tactile warning,./data/final_images/536.jpg
537,missing tactile warning,./data/final_images/537.jpg
538,missing tactile warning,./data/final_images/538.jpg
539,missing tactile warning,./data/final_images/539.jpg
540,missing tactile warning,./data/final_images/540.jpg
541,alternate route present,./data/final_images/541.jpg
542,missing tactile warning,./data/final_images/542.jpg
543,alternate route present,./data/final_images/543.jpg
544,alternate route present,./data/final_images/544.jpg
545,missing tactile warning,./data/final_images/545.jpg
546,missing tactile warning,./data/final_images/546.jpg
547,missing tactile warning,./data/final_images/547.jpg
548,missing tactile warning,./data/final_images/548.jpg
549,missing tactile warning,./data/final_images/549.jpg
550,missing tactile warning,./data/final_images/550.jpg
551,missing tactile warning,./data/final_images/551.jpg
552,missing tactile warning,./data/final_images/552.jpg
553,missing tactile warning,./data/final_images/553.jpg
554,cracks,./data/final_images/554.jpg
555,missing tactile warning,./data/final_images/555.jpg
556,brick cobblestone,./data/final_images/556.jpg
557,sand bags pole,./data/final_images/557.jpg
558,missing tactile warning,./data/final_images/558.jpg
559,missing tactile warning,./data/final_images/559.jpg
560,missing tactile warning points into traffic,./data/final_images/560.jpg
561,missing tactile warning points into traffic,./data/final_images/561.jpg
562,missing tactile warning,./data/final_images/562.jpg
563,bumpy landing missing tactile warning not enough landing space points into traffic,./data/final_images/563.jpg
564,points into traffic,./data/final_images/564.jpg
565,alternate route present,./data/final_images/565.jpg
566,alternate route present,./data/final_images/566.jpg
567,brick cobblestone,./data/final_images/567.jpg
568,brick cobblestone,./data/final_images/568.jpg
569,fire hydrant,./data/final_images/569.jpg
570,missing tactile warning,./data/final_images/570.jpg
571,missing tactile warning,./data/final_images/571.jpg
572,not level with street,./data/final_images/572.jpg
573,not enough landing space,./data/final_images/573.jpg
574,missing tactile warning not enough landing space,./data/final_images/574.jpg
575,missing tactile warning not enough landing space,./data/final_images/575.jpg
576,missing tactile warning points into traffic,./data/final_images/576.jpg
577,missing tactile warning,./data/final_images/577.jpg
578,missing tactile warning,./data/final_images/578.jpg
579,obstacle missing tactile warning not enough landing space,./data/final_images/579.jpg
580,alternate route present,./data/final_images/580.jpg
581,alternate route present,./data/final_images/581.jpg
582,missing tactile warning,./data/final_images/582.jpg
583,alternate route present,./data/final_images/583.jpg
584,street has a sidewalk,./data/final_images/584.jpg
585,alternate route present,./data/final_images/585.jpg
586,alternate route present,./data/final_images/586.jpg
587,alternate route present,./data/final_images/587.jpg
588,alternate route present,./data/final_images/588.jpg
589,alternate route present,./data/final_images/589.jpg
590,alternate route present,./data/final_images/590.jpg
591,alternate route present,./data/final_images/591.jpg
592,alternate route present,./data/final_images/592.jpg
593,alternate route present,./data/final_images/593.jpg
594,no alternate route,./data/final_images/594.jpg
595,no alternate route,./data/final_images/595.jpg
596,missing tactile warning,./data/final_images/596.jpg
597,no alternate route,./data/final_images/597.jpg
598,no alternate route,./data/final_images/598.jpg
599,missing tactile warning,./data/final_images/599.jpg
600,missing tactile warning,./data/final_images/600.jpg
601,missing tactile warning,./data/final_images/601.jpg
602,missing tactile warning,./data/final_images/602.jpg
603,missing tactile warning,./data/final_images/603.jpg
604,missing tactile warning,./data/final_images/604.jpg
605,steep,./data/final_images/605.jpg
606,missing tactile warning,./data/final_images/606.jpg
607,missing tactile warning,./data/final_images/607.jpg
608,missing tactile warning,./data/final_images/608.jpg
609,missing tactile warning,./data/final_images/609.jpg
610,missing tactile warning,./data/final_images/610.jpg
611,missing tactile warning,./data/final_images/611.jpg
612,points into traffic,./data/final_images/612.jpg
613,missing tactile warning,./data/final_images/613.jpg
