,words
59,"portrait,dominique,jacques,de,eerens,governor,general,knee,pad,standing,face,stitch,right,hand,gloves,left,hand,left,view,landscape,palms,part,series,portraits,governors,general,former,dutch,east,indies"
60,"portrait,william,iv,prince,orange,nassau,half,length,head,slightly,right,sitting,armor,blue,sash,commado,staff,left,hand"
61,"landscape,emmaus,travelers,hilly,landscape,few,dilapidated,buildings,left,small,waterfall,foreground,old,tree,right"
62,"portrait,john,younger,count,nassau,siegen,bust,right,armour,part,series,portraits,stadhouderlijk,hof,leeuwarden"
63,"river,view,mountainous,region,few,boats,bank,river,left,travelers,go,mules,path,other,side,river,high,steep,rock,rises"
64,"samson,tears,lion,pieces,panel,series,depictions,strong,men,mythology,biblical,history,panels,rijksmuseum,sk,a-3511/3514"
65,"thunderstorm,heathland,landscape,deer,flees,breaking,storm"
66,"portrait,man,bust,left,facing,part,portrait,miniatures,collection"
67,"madonna,sleeping,child,mary,seated,christ,child,lying,asleep,lap,reads,open,book,lies,basket,bindings"
68,"chimney,piece,depicting,baptism,eunuch,acts,part,beuning,room"
69,"view,flemish,village,foreground,group,spectators,man,dancing,dog,right,woman,sells,fish,farmers,dancing,left,front,inn,covered,wagon,rides,more,rear,road,runs,body,water,boats,houses,village,church,distance"
70,"portrait,samuel,van,lansbergen,remonstrant,minister,rotterdam,bust,right,pendant,sk,a-144"
71,"landscape,overtoom,right,canal,next,meadow,left,overtoom,village,background,foreground,path,deep,cart,tracks"
72,"portrait,painter,johannes,gijsbert,vogel,standing,front,painting,easel,brush,right,hand,palette,brushes,left,hand"
73,"fall,vetera,claudius,civilis,has,hair,cut,son,kills,prisoners,bow,arrow,seventh,representation,series,scenes,revolt,batavians,romans,sk,a-421/432,purchased,states,general"
74,"naval,battle,dutch,spanish,ships,galleys,haarlemmermeer,may,failed,attempt,relieve,haarlem,background,profile,city,haarlem,where,explosion,takes,place,work,comes,town,hall,haarlem"
75,"family,group,interior,family,portrait,parents,seated,table,son,standing,hand,mothers,shoulder,table,book,letters,right,bookcase,back,wall,painting,minerva"
76,"portrait,fifteen,year,old,boy,bust,slightly,right,painted,together,sk,a-4338,inside,silver,screw,descender,part,collection,portrait,miniatures"
77,"portrait,aert,van,nes,lieutenant,admiral,knee,piece,standing,command,stick,right,hand,left,arm,raised,standing,front,wall,inkstand,sea,charts,right,left,globe,messenger,bringing,letter,background,seascape,sea,battle,pendant,sk,a-141"
78,"portrait,johan,van,oldenbarnevelt,just,head,slightly,left,attached,head,man,cornelis,saftlevens,satire,conviction,van,oldenbarnevelt,trucidata,innocentia,sk,a-1588,part,portrait,miniatures,collection"
79,"portrait,da,sangallo,architect,son,francesco,giamberti,da,sangallo,bust,right,background,landscape,bottom,performance,plinth,compass,pen,part,sk,c-1367,diptych"
80,"view,venice,entrance,grand,canal,left,punta,della,dogana,santa,maria,della,salute,water,many,gondolas,other,boats"
81,"portrait,louise,christina,countess,solms,braunfels,second,wife,johan,wolfert,van,brederode,bust,oval,left"
82,"portrait,admiral,presumably,adriaen,banckert,vice,admiral,zeeland,knee,piece,standing,armor,pistol,right,hand,left,hand,side,background,seascape,ship,ribbon,portrait,medallion,chest"
83,"portrait,jean,fourmenois,standing,half,length,left,hand,leaning,table,right,hand,side,back,inscription,name,number,pendant,sk,a-2072"
84,"portrait,dirck,hendrick,meulenaer,standing,half,length,head,high,black,hat"
85,"landscape,drovers,ambushed,robbed,group,robbers,way"
86,"portrait,johan,van,der,does,younger,janus,dousa,jr,.,librarian,leiden,bust,oval,left,part,collection,portraits,dutch,poets"
87,"saint,bonaventure,half,figure,book,left,hand,raised,right,hand"
88,"portrait,hendrik,casimir,count,nassau,dietz,bust,right,armour,part,series,portraits,stadhouderlijk,hof,leeuwarden"
89,"party,party,interior,party,celebrating,drinking,making,music,set,table,left,woman,dog,lap,next,old,man,song,poem,hand,middle,couple,young,man,holding,empty,glass,upside,down,front,right,man,playing,lute,right,man,woman,foreground,overturned,chair,table,open,pie,bowl,berries,jug,plates,glasses,paintings,hang,wall"
90,"still,life,cheeses,table,white,linen,damask,pink,silk,cloths,center,pewter,bowl,cheeses,front,chinese,plate,nuts,olives,pewter,plate,cut,apple,half,right,jug,siegburg,stoneware,left,chinese,bowl,apples,pewter,plate,white,blue,grapes,furthermore,rummer,few,glasses,sandwich,knife,cabbage,pear"
91,"portrait,johan,van,bochoven,tax,lawyer,counselor,court,flanders,knee,piece,leaning,right,arm,pedestal,left,hand,side,right,background,view,garden,statue,niche,pendant,sk,a-1655"
92,"portrait,lodewijk,günther,count,nassau,bust,right,armour,part,series,portraits,stadhouderlijk,hof,leeuwarden"
93,"young,mercury,steals,cattle,apollos,herd,landscape,right,shepherd,playing,flute,cows,left,mercury,grabs,few,head,cattle"
94,"portrait,arnoldus,van,rijneveld,jeweler,brother,isaac,van,rijneveld,standing,half,length,music,book,hand,pendant,sk,a-3904"
95,"oval,portrait,miniature,mr,ms,schuster,back,initials,sitter,surrounded,lock,hair,pearls,leather,case"
96,"evangelist,standing,full,length,right,hand,pen,left,open,book,probably,originally,part,altarpiece,similar,ensemble,pendant,sk,a-3979"
97,"halt,advancing,troops,hofstede,welna,aan,amstel,attack,prince,willem,ii,amsterdam,july,long,procession,horsemen,preceded,heralds,drummers,population,flocked,left,right,watch,spectacle,left,river,boats,right,building,name,starting,letters,wel,facade,pendant,sk,c-1224"
98,"portrait,adriaan,valckenier,governor,general,standing,half,length,left,facing,face,command,staff,right,hand,left,arm,resting,book,paper,monogram,voc,top,right,family,coat,arms,bottom,left,coats,arms,dutch,east,indies,republic,batavia,background,ship,sea,part,series,portraits,governors,general,former,dutch,east,indies"
99,"monarosa,daughter,painter,fruit,seller,girl,stands,table,grapes,melon,other,fruits,displayed,arms,earthenware,jug"
100,"unfinished,study,group,houses"
101,"failed,attack,antwerp,prince,maurits,may,battle,blokkersdijk,spanish,troops,water,beggars,trying,come,ashore,left,fleet,beggars,scheldt,distance,profile,city,antwerp"
102,"portrait,karel,reyniersz,governor,general,half,length,left,facing,face,right,hand,front,chest,part,series,copies,portraits,governors,general,former,dutch,east,indies,probably,dutch,east,india,company,copy,sk,a-3764"
103,"view,castle,egmond,aan,den,hoef,overview,middle,castle,surrounded,moat,surrounding,landscape,walkers,travelers,angler,pendant,sk,a-991"
104,"dervish,muslim,saints,held,special,place,religiously,tolerant,istanbul,christian,monks,dervishes,roamed,countryside,city,others,lived,communities,orders,most,famous,order,mevlevi,dervishes,followers,philosopher,mystical,poet,jalal,ad,din,rumi,also,called,mevlana,master,mevlevi,dervishes,try,get,touch,allah,prayer,music,whirling,dance,right,hand,raised,dance,receive,heavenly,blessing,pass,earth,left,hand,followers,mevlana,lived,tekkes,also,called,mevlevihanesi,vanmour,painted,mevlevihane,stood,palais,hollande,pera,oldest,city,consisted,prayer,hall,dance,hall,semahane,rooms,dervishes,room,special,prayer,room,leader,sheikh,womens,section,library,dining,room,kitchen,public,fountain,bell,room,hour,prayer,announced,cemetery,ceremony,began,when,dervishes,leader,left,seat,stood,edge,dance,floor,address,followers,vanmour,depicted,right,painting,contemplative,pose,assume,ceremony,dervishes,saluted,leader,men,foreground,do,then,began,prayer,spinning,circles,same,place,rhythm,music,fell,trance,dervishes,wear,distinctive,cylindrical,hat,goatee,long,woolen,clothes,whirled,beautiful,circle,turned,balcony,see,above,left,flute,played,vanmour,depicted,spectators,very,prominently,stand,balustrade,chair,religious,leader,features,closely,resemble,patrona,halil,accomplice,muslu,bese,why,vanmour,depicted,protagonists,rebellion,so,prominently,unclear,help,date,painting,created,october,just,uprising,november,murder,patrona,halil,associates"
105,"portrait,amalia,van,solms,wife,prince,frederik,hendrik,knee,piece,standing,balustrade,column,right,right,hand,cherry,twig,pendant,sk,a-178"
106,"portrait,jeanette,antoinette,pietermaat,wife,pieter,mijer,bust,oval,right,pendant,sk,a-4159"
107,"church,interior,women,choir,screen"
108,"portrait,dionijs,wijnands,merchant,amsterdam,half,length,sitting,front,curtain"
109,"interior,painting,studio,window,painter,sits,easel,front,painting,paints,right,hand,leaning,painters,stick,studio,journeyman,puts,paints,palette,apprentice,rubs,paint,stone"
110,"ij,front,amsterdam,seen,mosselsteiger,few,travelers,waiting,quay,several,large,boats,small,ships,lie,harbor"
111,"portrait,jacoba,van,beieren,countess,holland,zeeland,half,way,right,neck,necklace,cross,order,st,.,anthony,top,left,family,coat,arms,sixteenth,century,copy,original,ca,pendant,sk,a-499"
112,"portrait,frederick,ii,great,king,prussia,half,length,profile,right,uniform,part,portrait,miniatures,collection"
113,"portrait,widow,amalia,van,solms,allegory,memory,frederik,hendrik,prince,orange,foreground,princess,mourning,clothes,open,book,lap,next,allegorical,female,figure,helmet,head,palm,branch,hand,front,kneels,personification,hope,anchor,right,hand,blossoming,orange,branch,left,above,angel,pointing,upwards,background,tomb,statue,seated,frederik,hendrik,armour,head,putto,laurel,wreath,front,monument,statues,justice,strength,background,rising,phoenix"
114,"colonnade,overlooking,park,garden,deer,background,boat,passengers,moors,integrated,list"
115,"inspectors,collegium,medicum,amsterdam,portrayed,left,right,hendrik,van,bronkhorst,jeronimo,de,bosch,daniël,van,buren,martinus,haesbaert,casparus,commelin,joost,ter,pelkwijk"
116,"chimney,fixed,nursery,dolls,house,depicting,jupiter,reclining,ground,thunder,thunderbolt,left,arm,eagle,visible,background,right,painting,framed,smooth,gilded,profile,frame"
117,"outside,party,cheerful,company,garden,country,house,left,right,elegant,standing,pairs,left,group,musicians,middle,large,set,table,where,people,eat,drink,right,foreground,large,cooler,bottles,wine,front,table,chained,monkey,several,dogs,left,pedestal,parrot,peacock"
118,"batavians,close,in,romans,vetera,foreground,wounded,soldier,cared,warrior,saying,family,fifth,scene,series,scenes,revolt,batavians,romans,sk,a-421/432,purchased,states,general"
119,"standing,woman,bare,upper,body,writing,table,hands,perhaps,personification,arithmetica,part,series,allegorical,female,figures,sk,a-3424/3427"
120,"barn,bank,river,gelderland,sheets,bleaching,grass,foreground,man,walks,broom,shoulder,background,cattle,graze,trees"
121,"view,hague,delft,canal,seventeenth,century,left,road,runs,water,where,is,mill,few,walkers,walking,bridge,man,fishing,rod,right,water,tow,barge,made,grace,celebrations,held,may,occasion,unveiling,statue,rembrandt"
122,"angler,young,man,fishing,fishing,rod,waters,edge,young,woman,man,pipe,watch,gate,right,background,cow,milked,dog,sleeping,left"
123,"portrait,william,iii,prince,orange,king,england,knee,piece,standing,armour,command,staff,right,hand,left,hand,side,table,right,plumed,helmet"
124,"portrait,sir,john,burroughs,a.k.a,sir,john,burgh,field,commander,standing,full,length,lance,right,hand,left,hand,side,epee,left,hip,helmet,right,side,table"
125,"landscape,fountain,background,middle,plan,pedestal,statue,river,god,children,argue,birds,nest,girl,shows,birds,nest,boyfriend,pendant,lying,floor,former,playmate,pulling,hair,is,about,hit,girl,boy,watching,pendant,runs,birds,nest,looks,back,birds,falls,nest"
126,"view,valkhof,located,waal,nijmegen,foreground,ferry,crosses,river"
127,"sleeping,lion,landscape,night"
128,"river,landscape,few,houses,waterfront,left,stone,bridge,woman,child,back,talks,woman,does,laundry,few,boats,water"
129,"portrait,james,i,later,king,england,child,bust,facing,portrait,arnold,van,bronckorst,edinburgh,part,portrait,miniatures,collection"
130,"seated,woman,eats,herring,bread,cat,jumping,gets,bone,fish,performance,known,cats,breakfast,left,water,pump,foreground,barrel,dead,chicken,lies,right,vase,flowers,table"
131,"adoration,shepherds,shepherds,angels,gathered,holy,family,child,manger,copy,engraving,jan,baptist,maerten"
132,"mary,magdalene,sitting,rocks,bare,bosom,left,hand,skull,putti,copy,original,private,collection,rome"
133,"portrait,william,king,netherlands,standing,full,length,generals,dress,uniform,right,shoulder,ribbon,grand,cross,military,order,william,uniform,red,ermine,lined,royal,cloak,right,throne,left,table,map,part,java,bantam,jacatra,cheribon,indonesia,pillow,crown,scepter,hat,ostrich,feathers"
134,"church,interior,middle,pulpit,right,small,organ"
135,"marble,bust,surrounded,festoons,fruits,grapes,peaches,plums,cherries,pears,oranges,apples,butterflies,fly,fruits,parts,sk,a-763/766,merged"
136,"portrait,willem,bentinck,diplomat,service,william,iv,regent,anna,willem,standing,half,length,left"
137,"still,life,table,white,cloth,pewter,bowl,crab,chinese,plate,half,peeled,lemon,rummer,white,wine,pass,glass,silver,cup,plate,nuts,plate,sandwich,front,left,rolled,paper,pepper"
138,"portrait,jacoba,vetter,wife,pieter,meijer,warnars,bookseller,amsterdam,seated,half,length"
139,"herepad,haagse,bos,park,landscape,walkers,paths,rows,trees,right,sign,ordinances"
140,"portrait,seated,young,woman,named,isabella,lace,hat,head,fan,right,hand"
141,"italian,landscape,milkmaid,next,farmer,carries,tub,filled,milk,right,sleeping,dog,horse"
142,"portrait,year,old,oopjen,coppit,standing,full,length,tiled,floor,otherwise,undefined,space,dressed,precious,black,dress,lace,collar,cuffs,black,veil,wears,precious,jewelry,right,hand,holds,fan,black,ostrich,feathers"
143,"still,life,corner,table,pewter,pitcher,plates,peeled,lemon,knife,olives,birch,mayer,wine,silver,goblet"
144,"river,view,mooring,place,large,group,people,gathered,mooring,right,water,kinds,boats,distance,city,located,river"
145,"music,making,company,interior,man,plays,cello,woman,lute,woman,sings,sheet,music,hands,right,man,woman,standing,fireplace,hangs,painting,seascape,left,foreground,seated,man,seen,back"
146,"view,salee,morocco,squadron,dutch,warships,lies,moroccan,coast"
147,"ships,coast,still,water,small,merchant,ships,more,aft,warships"
148,"christ,gethsemane,christ,stretched,ground,left,light,shine"
149,"houses,prins,hendrikkade,amsterdam,foggy,day"
150,"half,length,portrait,woman,pendant,sk,c-1567"
151,"portrait,little,boy,standing,basket,fruit,left,hand,cake,right,hand,dog,jumps,head,hat,feathers"
152,"portrait,pieter,hendrik,van,gelder,donor,medals,cabinet,rijksmuseum,bust,turned,slightly,left,work,once,inventoried,photograph,sk,a-2533,perhaps,overpainted,photograph,painted,photograph"
153,"frederiksplein,amsterdam,entry,queen,wilhelmina,september,queen,wilhelmina,sits,emma,carriage,crème,calèche,drawn,horses,escort,riders,front,carriage,right,covered,stand,invited,guests,procession,drives,utrechtsestraat,background,paleis,voor,volksvlijt"
154,"expulsion,paradise,adam,eve,hiding,nakedness,shame,flee,paradise,chased,angel,flaming,sword,cows,grazing,left"
155,"turbulent,sea,ships,front,tjalk,left,warship,right,figures,bank"
156,"cityscape,houses,north,side,osjessluis,where,spui,crosses,kalverstraat,amsterdam,several,people,walking,street,bottom,left,water,woman"
157,"fighting,birds,coastal,landscape,rooster,turkey,fighting,other,hens,right"
158,"portrait,floris,gerritsz,overrijn,van,schoterbosch,c.,half,length,right,gloves,hand,top,right,family,coat,arms,perhaps,copy,cornelis,engelsz,unknown,original,belongs,group,portraits"
159,"portrait,joachim,rendorp,lord,marquette,brewer,several,times,mayor,amsterdam,bust,left,stone,window,pendant,sk,a-2421"
160,"allegory,cooperage,man,sits,barrel,is,pitcher,bread,gestures,man,standing,front,bowing,verse,circular,representation,see,also,sk,a-4466,sk,a-4467"
161,"portrait,jan,nieuwenhuyzen,mennonite,pastor,founder,maatschappij,tot,nut,van,t,algemeen,bust,oval,face"
162,"white,spanish,battle,stallion,captured,lodewijk,günther,van,nassau,archduke,albert,austria,battle,nieuwpoort,given,prince,maurits,horse,led,groom,depicted,almost,life,size"
163,"portrait,man,red,cloak,perhaps,senator,cardinal,bust,bearded,man,facing,left"
164,"depiction,nieuwe,haarlemse,sluis,singel,amsterdam,called,souvenir,damsterdam,boat,sails,lock,counter,man,looks,painted,paris,stereo,photo"
165,"portrait,charlotte,amalie,daughter,frederick,iv,king,denmark,knee,piece,seated,throne,ermine,cloak,right,hand,front,chest"
166,"robbery,europe,kings,daughter,europa,abducted,zeus,sea,guise,bull,beach,left,maidservants,raise,arms,despair"
167,"hilly,landscape,view,river,lake,valley,boats,sail,water,hills,churches,castles,foreground,people,go,horseback,foot,road"
168,"coastal,view,tjalk,still,water,left,man,wading,water,pendant,sk,a-2315"
169,"portrait,johannes,puttkammer,licentiate,theology,utrecht,deathbed"
170,"portrait,willem,van,hogendorp,chosen,bust,oval,right,head,turned,left,part,series,portraits,directors,rotterdam,chamber,dutch,east,india,company,made,nieuw,oost,indisch,huis,boompjes,rotterdam"
171,"cannon,shot,warship,calm,winds,slack,sails,fires,cannon,shot,sloops,side,warship,distance,downed,sails,pendant,sk,a-1848"
172,"hilly,landscape,country,road,runs,hilltop,barn,foreground,woman,wooden,bridge"
173,"view,dordrecht,winter,river,landscape,fishing,boats,water,other,side,houses,mill"
174,"portrait,johan,fraser,half,length,sitting,chair,front,bookcase,pendant,sk,a-1568"
175,"portrait,jan,van,riebeeck,commander,cape,good,hope,malacca,secretary,high,government,batavia,standing,half,length,staff,right,hand,top,left,family,coat,arms,pendant,sk,a-806"
176,"landscape,arable,fields,horizon,left,mill,right,group,trees"
177,"interior,horse,stable,several,warriors,women,foreground,greyhound,parts,armor"
178,"penitent,saint,jerome,book,table,wilderness,left,landscape,rider"
179,"portrait,henriette,maria,france,wife,charles,i,england,bust,left,original,anthony,van,dyck,part,portrait,miniatures,collection"
180,"saint,paul,standing,full,length,pedestal,landscape,background,right,hand,sword,open,bible,left,hand"
181,"portrait,damsel,johanna,cornelia,mollerus,bust,facing,part,portrait,miniatures,collection"
182,"portrait,syrius,bethune,-1649,lord,cogni,mareuil,le,beysel,toulon,conegory,chastillon,bust,right,armour,part,series,portraits,stadhouderlijk,hof,leeuwarden"
183,"waiting,room,soldiers,tables,front,fireplace,soldier,left,writes,letter,floor,pieces,armor,drum,foreground,dog,lies,mat,right,back,wall,hangs,card,rolls,fireplace,weapon,eagle"
184,"half,figure,saint,damian,perhaps,cosmas,hand,round,ointment,box,pendant,sk,a-4235"
185,"grindstone,market,amsterdam,cityscape,row,houses,right,many,people,street,man,passes,woman,carriage,background,distance,harbor,foreground,children,hoops"
186,"reconciliation,jacob,esau,brothers,retinue,women,cattle,copy,original,alte,pinakothek,munich"
187,"dark,brown,white,horse,standing,meadow,fence,distance,right,meadow,cows,profile,city"
188,"notre,dame,today,censier,paris,viewed,center,curving,left,depth,contemporary,housing,sides,street,light,top,left,shadow,houses,falls,street,street,painted,blond,sand,color,divided,horizontal,levels,dark,lines,be,curbs,drop,shadows,right,lady,seen,back,front,horse,carriage,background,few,more,people,low,horizon,quarter,sky,bright,blue,veil,clouds"
189,"portrait,gaston,foix,french,army,commander,bust,profile,left,late,copy,unknown,original"
190,"portrait,diederichs,family,presented,amsterdam,bookseller,pieter,arnold,diederichs,wife,alida,elisabeth,sligting,son,willem,george,albrecht,book,daughter,bertha,doll,hands,part,portrait,miniatures,collection"
191,"performance,entitled,tired,watchful,mother,fallen,asleep,chair,next,crib,sleeping,child,lying,left,cradle,cat,right,table,woman,candle,burning"
192,"east,side,mill,river,gein,abcoude,horizon,slightly,center,moon,top,right,mill,partly,cloud,mill,center,summer,house,right,bend,river,right,group,trees,closes,horizon,left,foreground,painting,occupied,wheel,vegetation,reflection,mill"
193,"portrait,corvina,hezenbroek,van,hofdijck,bust,almost,facing,lace,cap,head,top,right,family,coat,arms"
194,"portrait,frederika,sophia,wilhelmina,princess,prussia,wife,prince,willem,knee,piece,sitting,sofa,looking,open,book,right,hand,left,dog,sofa,original,johann,georg,ziesenis,mauritshuis,part,portrait,miniatures,collection"
195,"shepherd,scene,shawm,player,italian,landscape,seated,shepherd,playing,shepherds,flute,man,wraps,arms,waist,shepherdess,holding,staff,background,farm,monumental,classical,building"
196,"works,mercy,comforting,prisoners,man,woman,visit,prison,where,inmate,beaten,other,inmates,chained,bars,visitors,give,alms,prisoners,stands,christ,gives,blessing,part,series,paintings,depicting,works,mercy"
197,"jupiter,mnemosyne,landscape,jupiter,disguised,shepherd,courts,mnemosyne,attribute,eagle,flies,scene,left,putti,flock,sheep,belongs,sk,a-3885,part,room,decoration,painted,order,jan,baptist,surmont,lord,vlooswijk,house,loenen,aan,de,vecht"
